f_center_mhz,f_lo_mhz,f_hi_mhz,bw_khz,peak_snr_db,level_dbfs,duty,spread_db,image_irr_db,retune,gain_tests,category,flags
91.0998,91.0898,91.1143,24.4,6.4,-68.5,1.00,0.4,6.7,stays,,unexplained,marginal
92.6922,92.6621,92.7256,63.5,9.1,-60.2,1.00,0.9,4.5,stays,,raster_station,marginal
93.3017,93.2285,93.3750,146.5,16.0,-51.3,1.00,1.5,,stays,,raster_station,
93.4401,93.4238,93.4727,48.8,5.3,-65.2,1.00,0.6,8.6,stays,,station_part,marginal
94.9010,94.8252,94.9717,146.5,17.1,-50.9,1.00,3.7,,stays,,raster_station,
94.9993,94.9961,95.0059,9.8,5.1,-71.1,1.00,0.2,,not_reproduced,,station_part,marginal
95.7193,95.6602,95.7871,127.0,13.8,-55.7,1.00,3.3,,stays,,raster_station,
96.4764,96.3975,96.5537,156.2,15.4,-50.9,1.00,6.5,,stays,,raster_station,
96.5762,96.5635,96.5977,34.2,9.2,-63.0,0.99,7.4,,stays,,station_part,marginal
97.2928,97.2471,97.3398,92.8,11.8,-56.5,1.00,1.2,,stays,,raster_station,
98.0970,98.0283,98.1602,131.8,12.6,-55.3,1.00,5.6,,stays,,raster_station,
98.8967,98.8291,98.9414,112.3,15.0,-54.2,1.00,1.4,,stays,,raster_station,
98.9638,98.9512,98.9805,29.3,6.0,-66.6,0.64,3.3,,stays,,station_part,marginal
99.0000,98.9951,99.0098,14.6,42.1,-34.6,1.00,0.0,,moves_with_LO(+d),,,dc;lo_relative
99.6847,99.6201,99.7568,136.7,12.3,-54.6,1.00,1.4,,stays,,raster_station,
100.0000,99.9912,100.0107,19.5,29.3,-47.0,1.00,0.0,,stays,,,spur_candidate
100.4432,100.4307,100.4600,29.3,7.9,-65.1,1.00,0.9,,stays,,unexplained,marginal
101.3013,101.2314,101.3926,161.1,19.5,-45.9,1.00,0.3,,stays,,raster_station,
102.7793,102.7695,102.7939,24.4,6.1,-66.2,1.00,0.7,,stays,,unexplained,marginal
104.4966,104.4346,104.5664,131.8,12.6,-55.6,1.00,3.8,,stays,,raster_station,
105.2867,105.2256,105.3721,146.5,11.8,-52.5,1.00,2.5,-4.5,stays,,raster_station,
106.0541,106.0215,106.0947,73.2,9.2,-56.9,0.87,1.3,,,,unexplained,marginal
106.1496,106.1191,106.1777,58.6,5.8,-61.8,0.65,3.1,,,,unexplained,marginal
106.8978,106.8467,106.9492,102.5,10.7,-59.0,1.00,5.3,-6.7,,,raster_station,
107.4514,107.4424,107.4668,24.4,6.0,-66.1,1.00,0.7,,,,,edge;marginal
107.7001,107.6621,107.7402,78.1,8.4,-59.7,1.00,3.0,,,,,edge;marginal
107.9973,107.9941,108.0088,14.6,7.7,-67.0,1.00,0.2,,,,,edge;marginal
